Mac Prefix,Vendor Name,Private,Block Type,Last Update
00:10:D4,STORAGE COMPUTER CORPORATION,FALSE,MA-L,11/17/2015
00:10:D5,"IMASDE CANARIAS, S.A.",FALSE,MA-L,11/17/2015
00:10:D6,Exelis,FALSE,MA-L,11/17/2015
00:10:D7,ARGOSY RESEARCH INC.,FALSE,MA-L,11/17/2015
00:10:D8,CALISTA,FALSE,MA-L,11/17/2015
00:10:D9,"IBM JAPAN, FUJISAWA MT+D",FALSE,MA-L,11/17/2015
00:10:DA,Kollmorgen Corp,FALSE,MA-L,11/17/2015
00:10:DB,Juniper Networks,FALSE,MA-L,2/10/2016
00:10:DC,"MICRO-STAR INTERNATIONAL CO., LTD.",FALSE,MA-L,11/17/2015
00:10:DD,"ENABLE SEMICONDUCTOR, INC.",FALSE,MA-L,11/17/2015
00:10:DE,INTERNATIONAL DATACASTING CORPORATION,FALSE,MA-L,11/17/2015
00:10:DF,RISE COMPUTER INC.,FALSE,MA-L,11/17/2015
00:10:E0,Oracle Corporation,FALSE,MA-L,2/10/2016
00:10:E1,"S.I. TECH, INC.",FALSE,MA-L,11/17/2015
00:10:E2,"ArrayComm, Inc.",FALSE,MA-L,11/17/2015
00:10:E3,Hewlett Packard,FALSE,MA-L,11/17/2015
00:10:E4,NSI CORPORATION,FALSE,MA-L,11/17/2015
00:10:E5,SOLECTRON TEXAS,FALSE,MA-L,11/17/2015
00:10:E6,"APPLIED INTELLIGENT SYSTEMS, INC.",FALSE,MA-L,11/17/2015
00:10:E7,"Breezecom, Ltd.",FALSE,MA-L,7/2/2019
00:10:E8,"TELOCITY, INCORPORATED",FALSE,MA-L,11/17/2015
00:10:E9,RAIDTEC LTD.,FALSE,MA-L,11/17/2015
00:10:EA,ADEPT TECHNOLOGY,FALSE,MA-L,11/17/2015
00:10:EB,"SELSIUS SYSTEMS, INC.",FALSE,MA-L,11/17/2015
00:10:EC,Embedded Planet,FALSE,MA-L,6/10/2022
00:10:ED,"SUNDANCE TECHNOLOGY, INC.",FALSE,MA-L,11/17/2015
00:10:EE,"CTI PRODUCTS, INC.",FALSE,MA-L,11/17/2015
00:10:EF,DBTEL INCORPORATED,FALSE,MA-L,11/17/2015
00:10:F0,RITTAL-WERK RUDOLF LOH GmbH & Co.,FALSE,MA-L,11/17/2015
00:10:F1,I-O CORPORATION,FALSE,MA-L,11/17/2015
00:10:F2,ANTEC,FALSE,MA-L,11/17/2015
00:10:F3,"Nexcom International Co., Ltd.",FALSE,MA-L,11/17/2015
00:10:F4,Vertical Communications,FALSE,MA-L,11/17/2015
00:10:F5,"AMHERST SYSTEMS, INC.",FALSE,MA-L,11/17/2015
00:10:F6,"Cisco Systems, Inc",FALSE,MA-L,11/17/2015
00:10:F7,IRIICHI TECHNOLOGIES Inc.,FALSE,MA-L,11/17/2015
00:10:F8,TEXIO TECHNOLOGY CORPORATION,FALSE,MA-L,11/17/2015
00:10:F9,"UNIQUE SYSTEMS, INC.",FALSE,MA-L,11/17/2015
00:10:FA,"Apple, Inc.",FALSE,MA-L,10/11/2017
00:10:FB,ZIDA TECHNOLOGIES LIMITED,FALSE,MA-L,11/17/2015
00:10:FC,"BROADBAND NETWORKS, INC.",FALSE,MA-L,11/17/2015
00:10:FD,COCOM A/S,FALSE,MA-L,11/17/2015
00:10:FE,DIGITAL EQUIPMENT CORPORATION,FALSE,MA-L,11/17/2015
00:10:FF,"Cisco Systems, Inc",FALSE,MA-L,11/17/2015
0:20:00,"LEXMARK INTERNATIONAL, INC.",FALSE,MA-L,11/17/2015
0:20:02,"SERITECH ENTERPRISE CO., LTD.",FALSE,MA-L,11/17/2015
0:20:03,PIXEL POWER LTD.,FALSE,MA-L,11/17/2015
0:20:04,"YAMATAKE-HONEYWELL CO., LTD.",FALSE,MA-L,11/17/2015
0:20:05,SIMPLE TECHNOLOGY,FALSE,MA-L,11/17/2015
0:20:06,"GARRETT COMMUNICATIONS, INC.",FALSE,MA-L,11/17/2015
0:20:07,"SFA, INC.",FALSE,MA-L,11/17/2015
0:20:08,CABLE & COMPUTER TECHNOLOGY,FALSE,MA-L,11/17/2015
0:20:09,"PACKARD BELL ELEC., INC.",FALSE,MA-L,11/17/2015
00:20:0A,SOURCE-COMM CORP.,FALSE,MA-L,11/17/2015
00:20:0B,OCTAGON SYSTEMS CORP.,FALSE,MA-L,11/17/2015
00:20:0C,ADASTRA SYSTEMS CORP.,FALSE,MA-L,11/17/2015
00:20:0D,CARL ZEISS,FALSE,MA-L,11/17/2015
00:20:0E,NSSLGlobal Technologies AS,FALSE,MA-L,12/28/2017
00:20:0F,EBRAINS Inc,FALSE,MA-L,11/17/2015
0:20:10,JEOL SYSTEM TECHNOLOGY CO. LTD,FALSE,MA-L,11/17/2015
0:20:11,"CANOPUS CO., LTD.",FALSE,MA-L,11/17/2015
0:20:12,CAMTRONICS MEDICAL SYSTEMS,FALSE,MA-L,11/17/2015
0:20:13,"DIVERSIFIED TECHNOLOGY, INC.",FALSE,MA-L,11/17/2015
0:20:14,"GLOBAL VIEW CO., LTD.",FALSE,MA-L,11/17/2015
0:20:15,ACTIS COMPUTER SA,FALSE,MA-L,11/17/2015
0:20:16,SHOWA ELECTRIC WIRE & CABLE CO,FALSE,MA-L,11/17/2015
0:20:17,ORBOTECH,FALSE,MA-L,11/17/2015
0:20:18,CIS TECHNOLOGY INC.,FALSE,MA-L,11/17/2015
